Start_Lat,Start_Lng,Temperature(F),Humidity(%),Pressure(in),Wind_Speed(mph),Clima_grupo_Clear,Clima_grupo_Mostly Cloudy,Clima_grupo_Otro,Clima_grupo_Overcast,Clima_grupo_Partly Cloudy,Clima_grupo_Scattered Clouds,Sunrise_Sunset_Day,Sunrise_Sunset_Night,Crossing,Junction,Traffic_Signal,Stop,Station,Con_distancia,Baja_visibilidad
1.4916750716680895,8.773415246295434,-1.7017543859649122,0.8529411764705882,-1.70588235294119,-1.0175438596491229,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1.508148896277714,9.08716760399601,-1.6432748538011694,1.1176470588235294,-1.8823529411764928,-1.0175438596491229,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1.281667587196257,8.78009009965761,-1.7543859649122806,1.1176470588235294,-1.7647058823529436,-0.4035087719298246,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
1.4609348604806869,8.735878876779237,-1.807017543859649,1.0,-1.9411764705882464,-0.21052631578947373,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
1.4295195869865112,8.74028226080081,-1.7543859649122806,0.7941176470588235,-1.8823529411764928,-0.4035087719298246,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
1.5533270090975637,9.063139154270644,-1.6432748538011694,1.0294117647058822,-2.000000000000021,-0.4035087719298246,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
1.4636898374122387,8.729508181008525,-1.871345029239766,1.1176470588235294,-1.8235294117647183,-0.4035087719298246,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1.4668603783006744,8.73860888285855,-1.871345029239766,1.1176470588235294,-1.8235294117647183,-0.4035087719298246,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
1.468871163193498,8.744460977156095,-1.912280701754386,1.088235294117647,-1.7647058823529436,-0.8070175438596492,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.5533270090975637,9.063139154270644,-1.672514619883041,1.1176470588235294,-2.0588235294117747,-0.21052631578947373,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
1.5146305942139076,9.013528495157303,-1.7777777777777775,0.9117647058823529,-1.9411764705882464,0.0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1
1.5093665222383352,9.087237636920428,-1.672514619883041,1.1176470588235294,-2.0588235294117747,-0.21052631578947373,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
1.4582848874222978,8.750102461491153,-1.8830409356725146,1.1176470588235294,-2.000000000000021,-0.6140350877192983,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1.4721964604137034,8.726686416462533,-1.7543859649122806,0.7941176470588235,-1.8823529411764928,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1.519665019314755,9.06612271020771,-1.672514619883041,1.1176470588235294,-2.0588235294117747,-0.21052631578947373,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
1.4604465008212106,8.744868650566495,-1.8830409356725146,1.1176470588235294,-2.000000000000021,-0.6140350877192983,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
1.4610856889867758,8.73116954600389,-1.7777777777777775,1.088235294117647,-1.8823529411764928,-0.6140350877192983,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
1.4620925216359362,8.727094089872935,-1.7543859649122806,0.7941176470588235,-1.8823529411764928,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.459079879339813,8.741360614480117,-1.672514619883041,0.9117647058823529,-2.000000000000021,0.192982456140351,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
1.472181534676122,8.725941613755376,-1.7543859649122806,0.7941176470588235,-1.8823529411764928,0.192982456140351,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1.5407367566647185,9.07409445064474,-1.8830409356725146,1.1176470588235294,-2.0588235294117747,-0.21052631578947373,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1.4676365166549294,8.730995997260527,-1.7543859649122806,0.7941176470588235,-1.8823529411764928,0.192982456140351,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.4296523474944756,8.730621551150032,-1.807017543859649,0.7941176470588235,-1.8823529411764928,0.4035087719298246,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1
1.5331371995401573,9.045325743195646,-1.6959064327485378,1.0,-2.000000000000021,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
1.4645028973278802,8.722170315215877,-1.6432748538011694,0.4117647058823529,-2.0588235294117747,0.8070175438596493,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1.5683663917690573,9.135582847096519,-1.6432748538011694,1.1176470588235294,-2.176470588235303,-0.21052631578947373,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
1.457129059252363,8.747618081836528,-1.7543859649122806,0.7058823529411765,-2.000000000000021,0.5964912280701754,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1.4681489669785737,8.73717192993486,-1.526315789473684,0.23529411764705882,-2.117647058823549,1.0000000000000002,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1.4718199128585685,8.727310578511558,-1.526315789473684,0.08823529411764706,-2.117647058823549,0.4035087719298246,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1.4638066247624395,8.741455951271387,-1.5672514619883038,0.38235294117647056,-2.0588235294117747,-0.21052631578947373,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.5483174602260197,9.012734873878744,-1.6959064327485378,0.7941176470588235,-2.117647058823549,0.192982456140351,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1.483312207086492,8.759556139504044,-1.8596491228070173,1.0294117647058822,-1.8235294117647183,-0.4035087719298246,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1.5381747669015478,9.044707459822758,-1.8830409356725146,1.1176470588235294,-2.0588235294117747,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
1.5202874487574227,9.082651247154741,-1.871345029239766,1.1176470588235294,-1.8823529411764928,-1.0175438596491229,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
